Treatment,Variable,n,nmiss,mean,sd,min,max,iqr
  Control,numballs,302,0,2.3443708609271523,0.8316525406586419,0,4,1
  Control,victimproplost,266,36,0.7481203007518797,0.43491079176524405,0,1,0.75
  Control,victimfamlost,266,36,0.4774436090225564,0.5004324984324091,0,1,1
  Control,acledviolence10,257,45,6.7659449317575895,4.686810460290994,1,14,9
  Control,husbmoreland,226,76,0.3274336283185841,0.47031862251704676,0,1,1
  Control,wifemoreland,226,76,0.19469026548672566,0.39684101668935423,0,1,0
  Control,riskwife,302,0,3.556291390728477,2.049668189950689,1,6,5
  Control,riskhusband,87,215,3.4022988505747125,2.1805683604890964,1,6,5
  Control,barghusbandcloser,87,215,0.4367816091954023,0.49886264655009177,0,1,1
  Control,bargwifecloser,87,215,0.20689655172413793,0.40742900749794664,0,1,0
  Control,agewife,302,0,41.66556291390729,13.964980150802498,16,100,21
  Control,agehusband,225,77,46.85333333333333,14.401165627426533,19,98,20
  Control,genderhead,302,0,0.271523178807947,0.4454834222812372,0,1,1
  Control,eduwife_prim,302,0,0.24834437086092714,0.4327696946292219,0,1,0
  Control,eduwife_sec,302,0,0.039735099337748346,0.19566038452613163,0,1,0
  Control,eduhusband_prim,225,77,0.6266666666666667,0.4847679857416329,0,1,1
  Control,eduhusband_sec,225,77,0.2,0.4008918628686366,0,1,0
  Control,tinroof,302,0,0.5927152317880795,0.492144178122205,0,1,1
  Control,livestockany,302,0,0.47019867549668876,0.49993949161936774,0,1,1
  Control,terrfe_2,302,0,0.23178807947019867,0.4226747390215443,0,1,0
  Control,terrfe_3,302,0,0.6192052980132451,0.4863881708361264,0,1,1
 Treatment,numballs,291,0,2.6460481099656357,1.028126778923455,0,5,1
 Treatment,victimproplost,264,27,0.7916666666666666,0.40688778297473344,0,1,0
 Treatment,victimfamlost,264,27,0.5075757575757576,0.5008921640617223,0,1,1
 Treatment,acledviolence10,239,52,6.683344956721222,4.700475166788212,1,14,9
 Treatment,husbmoreland,224,67,0.32589285714285715,0.46975721917941005,0,1,1
 Treatment,wifemoreland,224,67,0.21875,0.4143245083340811,0,1,0
 Treatment,riskwife,291,0,3.5945017182130585,2.082895202182025,1,6,5
 Treatment,riskhusband,97,194,3.4948453608247423,2.1219277366554286,1,6,5
 Treatment,barghusbandcloser,97,194,0.3711340206185567,0.4856178973926324,0,1,1
 Treatment,bargwifecloser,97,194,0.31958762886597936,0.4687392610453714,0,1,1
 Treatment,agewife,291,0,40.49484536082474,14.06324903207197,18,98,20
 Treatment,agehusband,224,67,44.482142857142854,13.091593265208509,22,89,20
 Treatment,genderhead,291,0,0.24398625429553264,0.43022438389758805,0,1,0
 Treatment,eduwife_prim,291,0,0.25773195876288657,0.4381391020369401,0,1,1
 Treatment,eduwife_sec,291,0,0.01718213058419244,0.13017348301241266,0,1,0
 Treatment,eduhusband_prim,224,67,0.6339285714285714,0.4828082224118012,0,1,1
 Treatment,eduhusband_sec,224,67,0.19196428571428573,0.3947272187145274,0,1,0
 Treatment,tinroof,291,0,0.6185567010309279,0.4865777529901479,0,1,1
 Treatment,livestockany,291,0,0.5051546391752577,0.500834710297468,0,1,1
 Treatment,terrfe_2,291,0,0.24054982817869416,0.4281536625038814,0,1,0
 Treatment,terrfe_3,291,0,0.6460481099656358,0.4790182320569512,0,1,1
Overall,numballs,593,0,2.4924114671163573,0.9445933019477215,0,5,1
Overall,victimproplost,530,63,0.769811320754717,0.42135119121301484,0,1,0
Overall,victimfamlost,530,63,0.49245283018867925,0.5004153498299908,0,1,1
Overall,acledviolence10,496,97,6.726143734109018,4.688837643393418,1,14,9
Overall,husbmoreland,450,143,0.32666666666666666,0.46951617043339516,0,1,1
Overall,wifemoreland,450,143,0.20666666666666667,0.405364913004169,0,1,0
Overall,riskwife,593,0,3.57504215851602,2.064382074922227,1,6,5
Overall,riskhusband,184,409,3.4510869565217392,2.1444550208991418,1,6,5
Overall,barghusbandcloser,184,409,0.40217391304347827,0.4916745693619734,0,1,1
Overall,bargwifecloser,184,409,0.266304347826087,0.4432313471369306,0,1,1
Overall,agewife,593,0,41.09106239460371,14.01369278687158,16,100,20
Overall,agehusband,449,144,45.670378619153674,13.799198996198465,19,98,20
Overall,genderhead,593,0,0.2580101180438449,0.43790898246608195,0,1,1
Overall,eduwife_prim,593,0,0.25295109612141653,0.43507015507168556,0,1,1
Overall,eduwife_sec,593,0,0.02866779089376054,0.16701193291040528,0,1,0
Overall,eduhusband_prim,449,144,0.6302895322939867,0.4832647121975296,0,1,1
Overall,eduhusband_sec,449,144,0.19599109131403117,0.39740448078630114,0,1,0
Overall,tinroof,593,0,0.6053962900505903,0.48917804037887447,0,1,1
Overall,livestockany,593,0,0.4873524451939292,0.5002619978080852,0,1,1
Overall,terrfe_2,593,0,0.23608768971332209,0.42503522000355587,0,1,0
Overall,terrfe_3,593,0,0.6323777403035413,0.48256484542930544,0,1,1
